,date,year,month,day,open,high,low,close,week
0,2024-07-01,2024,07,01,23042.7,23187.88,23015.17,23058.57,1
1,2024-07-02,2024,07,02,23012.74,23041.9,22833.78,22879.37,1
2,2024-07-03,2024,07,03,23009.82,23172.43,22994.28,23172.43,1
3,2024-07-04,2024,07,04,23360.88,23571.82,23360.88,23522.53,1
4,2024-07-05,2024,07,05,23532.01,23628.86,23491.79,23556.59,1
5,2024-07-08,2024,07,08,23550.64,24011.64,23505.86,23878.15,2
6,2024-07-09,2024,07,09,23888.2,24126.66,23607.92,23900.08,2
7,2024-07-10,2024,07,10,23744.88,24040.61,23682.49,24007.08,2
8,2024-07-11,2024,07,11,24242.03,24416.67,24151.8,24390.03,2
9,2024-07-12,2024,07,12,23955.67,24045.73,23774.22,23916.93,2
10,2024-07-15,2024,07,15,23927.91,24018.31,23759.51,23879.36,3
11,2024-07-16,2024,07,16,23880.33,24174.18,23861.77,23997.25,3
