,date,year,month,day,open,high,low,close,week
0,2021-06-01,2021,06,01,17098.49,17184.3,17060.45,17162.38,1
1,2021-06-02,2021,06,02,17192.91,17274.66,17056.42,17165.04,1
2,2021-06-03,2021,06,03,17201.3,17311.28,17198.89,17246.16,1
3,2021-06-04,2021,06,04,17225.06,17225.06,17084.49,17147.41,1
4,2021-06-07,2021,06,07,17176.09,17189.23,16775.85,17083.91,2
5,2021-06-08,2021,06,08,17094.34,17181.52,17056.53,17076.21,2
6,2021-06-09,2021,06,09,17082.52,17082.52,16907.43,16966.22,2
7,2021-06-10,2021,06,10,17024.54,17159.22,16978.01,17159.22,2
8,2021-06-11,2021,06,11,17200.45,17278.55,17193.61,17213.52,2
9,2021-06-15,2021,06,15,17279.7,17371.29,17279.7,17371.29,3
10,2021-06-16,2021,06,16,17357.37,17398.22,17275.02,17307.86,3
11,2021-06-17,2021,06,17,17254.84,17390.61,17150.52,17390.61,3
12,2021-06-18,2021,06,18,17384.74,17417.5,17318.54,17318.54,3
13,2021-06-21,2021,06,21,17305.49,17305.49,17023.31,17062.98,4
14,2021-06-22,2021,06,22,17162.71,17270.47,17075.55,17075.55,4
15,2021-06-23,2021,06,23,17127.59,17375.79,17127.59,17336.71,4
16,2021-06-24,2021,06,24,17358.57,17439.63,17319.89,17407.96,4
17,2021-06-25,2021,06,25,17471.07,17597.33,17471.07,17502.99,4
18,2021-06-28,2021,06,28,17531.82,17595.51,17481.23,17590.97,5
