,date,year,month,day,open,high,low,close,week
0,2022-10-03,2022,10,03,13359.26,13440.23,13273.48,13300.48,1
1,2022-10-04,2022,10,04,13447.36,13586.96,13447.36,13576.52,1
2,2022-10-05,2022,10,05,13727.3,13902.02,13727.3,13801.43,1
3,2022-10-06,2022,10,06,13865.45,13899.23,13814.33,13892.05,1
4,2022-10-07,2022,10,07,13847.52,13847.52,13684.21,13702.28,1
5,2022-10-11,2022,10,11,13394.12,13394.12,13106.03,13106.03,2
6,2022-10-12,2022,10,12,13076.91,13130.73,12991.59,13081.24,2
7,2022-10-13,2022,10,13,13108.4,13111.39,12809.43,12810.73,2
8,2022-10-14,2022,10,14,13023.71,13221.87,13023.71,13128.12,2
9,2022-10-17,2022,10,17,12988.83,12988.83,12814.82,12966.05,3
10,2022-10-18,2022,10,18,13075.05,13143.15,12978.13,13124.68,3
11,2022-10-19,2022,10,19,13096.35,13155.62,12976.76,12976.76,3
12,2022-10-20,2022,10,20,12912.93,12946.1,12698.91,12946.1,3
13,2022-10-21,2022,10,21,12931.2,12954.02,12813.6,12819.2,3
14,2022-10-24,2022,10,24,12913.58,13027.84,12856.77,12856.98,4
15,2022-10-25,2022,10,25,12830.29,12843.31,12629.48,12666.12,4
16,2022-10-26,2022,10,26,12666.42,12791.97,12635.52,12729.05,4
17,2022-10-27,2022,10,27,12807.69,12954.32,12807.69,12926.37,4
