,start_date,close_date,open,high,low,close
0,2021-1-4,2021-1-8,14720.25,15463.95,14720.25,15463.95
1,2021-1-11,2021-1-15,15425.58,16041.59,15395.73,15616.39
2,2021-1-18,2021-1-22,15676.45,16238.46,15320.97,16019.03
3,2021-1-25,2021-1-29,16006.21,16023.87,15138.31,15138.31
4,2021-2-1,2021-2-5,15176.56,15938.09,15089.96,15802.4
5,2021-2-17,2021-2-19,16197.45,16517.73,16197.45,16341.38
6,2021-2-22,2021-2-26,16445.87,16579.17,15953.8,15953.8
7,2021-3-2,2021-3-5,16127.87,16262.91,15636.43,15855.23
8,2021-3-8,2021-3-12,15943.37,16298.03,15657.92,16255.18
9,2021-3-15,2021-3-19,16256.58,16410.02,16022.17,16070.24
10,2021-3-22,2021-3-26,16065.5,16351.38,15944.96,16305.88
11,2021-3-29,2021-4-1,16411.67,16602.47,16411.67,16571.28
12,2021-4-6,2021-4-9,16711.79,17016.13,16711.79,16854.1
13,2021-4-12,2021-4-16,16908.55,17158.81,16559.57,17158.81
14,2021-4-19,2021-4-23,17141.25,17428.15,17055.48,17300.27
15,2021-4-26,2021-4-29,17378.36,17709.23,17378.36,17566.66
16,2021-5-3,2021-5-7,17505.52,17546.94,16647.61,17285.0
17,2021-5-10,2021-5-14,17274.23,17304.47,15165.27,15827.09
18,2021-5-17,2021-5-21,15554.99,16431.14,15159.86,16302.06
19,2021-5-24,2021-5-28,16246.52,16889.01,16136.97,16870.86
20,2021-6-1,2021-6-4,17098.49,17311.28,17056.42,17147.41
21,2021-6-7,2021-6-11,17176.09,17278.55,16775.85,17213.52
22,2021-6-15,2021-6-18,17279.7,17417.5,17150.52,17318.54
23,2021-6-21,2021-6-25,17305.49,17597.33,17023.31,17502.99
24,2021-6-28,2021-6-29,17531.82,17713.24,17481.23,17598.19
25,2021-7-1,2021-7-2,17801.19,17863.9,17644.36,17710.15
26,2021-7-5,2021-7-9,17783.8,18008.37,17597.46,17661.48
27,2021-7-12,2021-7-15,17843.3,18034.19,17716.44,18034.19
