,start_date,close_date,open,high,low,close
0,2024-1-2,2024-1-5,17939.79,17956.74,17495.39,17519.14
1,2024-1-8,2024-1-10,17534.52,17694.26,17439.27,17465.63
2,2024-1-15,2024-1-19,17541.26,17682.97,17151.58,17681.52
3,2024-1-22,2024-1-26,17770.78,18029.85,17765.13,17995.03
4,2024-1-29,2024-1-30,18001.24,18138.74,17995.11,18034.63
5,2024-2-1,2024-2-2,17871.27,18059.93,17832.95,18059.93
6,2024-2-5,2024-2-5,18047.4,18115.8,17992.17,18096.07
7,2024-2-15,2024-2-16,18664.45,18725.47,18550.86,18607.25
8,2024-2-19,2024-2-23,18561.04,19012.38,18561.04,18889.19
9,2024-2-26,2024-2-27,18899.39,19023.01,18752.53,18854.41
10,2024-3-1,2024-3-1,19021.35,19041.92,18923.46,18935.93
11,2024-3-4,2024-3-8,18952.69,20065.5,18952.69,19785.32
12,2024-3-11,2024-3-15,19671.9,20112.81,19649.67,19682.5
13,2024-3-18,2024-3-22,19706.11,20296.1,19706.11,20228.43
14,2024-3-25,2024-3-29,20228.64,20397.07,19977.4,20294.45
15,2024-4-1,2024-4-3,20319.73,20466.57,20217.58,20337.6
16,2024-4-8,2024-4-12,20395.05,20883.69,20379.83,20736.57
17,2024-4-15,2024-4-18,20586.53,20623.77,19844.54,20301.2
18,2024-4-22,2024-4-26,19466.44,20226.29,19395.31,20120.51
19,2024-4-29,2024-4-29,20235.93,20495.52,20235.93,20495.52
20,2024-5-2,2024-5-3,20360.67,20521.49,20222.44,20330.32
21,2024-5-6,2024-5-10,20479.8,20765.82,20479.8,20708.84
22,2024-5-13,2024-5-17,20905.16,21515.52,20816.42,21258.47
23,2024-5-20,2024-5-24,21278.38,21668.84,21102.18,21565.34
24,2024-5-27,2024-5-29,21699.98,21937.4,21662.5,21662.5
25,2024-6-3,2024-6-7,21388.71,21970.63,21264.63,21858.38
26,2024-6-11,2024-6-14,21984.42,22504.72,21792.12,22504.72
27,2024-6-17,2024-6-21,22468.11,23406.1,22431.26,23253.39
28,2024-6-24,2024-6-28,23124.31,23142.4,22503.0,23032.25
29,2024-7-1,2024-7-5,23042.7,23628.86,22833.78,23556.59
30,2024-7-8,2024-7-12,23550.64,24416.67,23505.86,23916.93
31,2024-7-15,2024-7-19,23927.91,24174.18,22865.84,22869.26
32,2024-7-22,2024-7-23,22818.86,22871.84,22130.88,22871.84
33,2024-7-26,2024-7-26,22206.93,22206.93,21889.61,22119.21
34,2024-7-29,2024-7-30,22321.37,22471.4,21833.85,22223.57
35,2024-8-1,2024-8-2,22546.4,22652.21,21636.22,21638.09
36,2024-8-5,2024-8-9,20982.92,21613.76,19662.74,21469.0
37,2024-8-12,2024-8-16,21598.93,22374.94,21598.93,22349.33
38,2024-8-19,2024-8-23,22338.83,22545.89,21935.98,22158.05
39,2024-8-26,2024-8-30,22250.49,22449.45,22010.89,22268.09
40,2024-9-2,2024-9-6,22341.9,22439.31,20922.17,21435.19
41,2024-9-9,2024-9-13,21127.81,21796.39,20922.51,21759.65
42,2024-9-16,2024-9-16,21800.0,21854.74,21736.7,21850.08
43,2024-9-18,2024-9-20,21813.54,22354.54,21584.63,22159.42
44,2024-9-23,2024-9-27,22170.94,23079.21,22154.55,22822.79
45,2024-10-1,2024-10-1,22329.65,22446.86,22311.33,22390.39
46,2024-10-4,2024-10-4,22459.1,22493.05,22193.5,22302.71
47,2024-10-7,2024-10-8,22479.24,22719.07,22418.38,22611.39
48,2024-10-14,2024-10-18,22947.32,23713.7,22799.14,23487.27
49,2024-10-21,2024-10-25,23602.98,23678.51,23150.77,23348.45
50,2024-10-28,2024-10-30,23455.69,23547.12,22711.1,22820.43
51,2024-11-1,2024-11-1,22438.93,22828.98,22231.94,22780.08
52,2024-11-4,2024-11-8,22839.18,23699.7,22792.77,23553.89
53,2024-11-11,2024-11-15,23477.75,23563.8,22619.71,22742.77
54,2024-11-18,2024-11-22,22693.96,23019.04,22490.28,22904.32
55,2024-11-25,2024-11-29,22996.05,23172.43,22055.38,22262.5
56,2024-12-2,2024-12-2,22456.5,22802.53,22456.5,22736.93
